user_id,name,username,email,city,zipcode,phone_no,website,company_name,latitude,longitude
1,Leanne Graham,Bret,Sincere@april.biz,Gwenborough,92998-3874,1-770-736-8031 x56442,hildegard.org,Romaguera-Crona,-37.3159,81.1496
2,Ervin Howell,Antonette,Shanna@melissa.tv,Wisokyburgh,90566-7771,010-692-6593 x09125,anastasia.net,Deckow-Crist,-43.9509,-34.4618
3,Clementine Bauch,Samantha,Nathan@yesenia.net,McKenziehaven,59590-4157,1-463-123-4447,ramiro.info,Romaguera-Jacobson,-68.6102,-47.0653
4,Patricia Lebsack,Karianne,Julianne.OConner@kory.org,South Elvis,53919-4257,493-170-9623 x156,kale.biz,Robel-Corkery,29.4572,-164.2990
5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,Roscoeview,33263,(254)954-1289,demarco.info,Keebler LLC,-31.8129,62.5342
6,Mrs. Dennis Schulist,Leopoldo_Corkery,Karley_Dach@jasper.info,South Christy,23505-1337,1-477-935-8478 x6430,ola.org,Considine-Lockman,-71.4197,71.7478
7,Kurtis Weissnat,Elwyn.Skiles,Telly.Hoeger@billy.biz,Howemouth,58804-1099,210.067.6132,elvis.io,Johns Group,24.8918,21.8984
8,Nicholas Runolfsdottir V,Maxime_Nienow,Sherwood@rosamond.me,Aliyaview,45169,586.493.6943 x140,jacynthe.com,Abernathy Group,-14.3990,-120.7677
9,Glenna Reichert,Delphine,Chaim_McDermott@dana.io,Bartholomebury,76495-3109,(775)976-6794 x41206,conrad.com,Yost and Sons,24.6463,-168.8889
10,Clementina DuBuque,Moriah.Stanton,Rey.Padberg@karina.biz,Lebsackbury,31428-2261,024-648-3804,ambrose.net,Hoeger LLC,-38.2386,57.2232
